temps,temperature,humidite
14:33:36,24.299999237060547,53.900001525878906
14:33:37,24.299999237060547,53.29999923706055
14:33:38,24.299999237060547,53.29999923706055
14:33:38,24.299999237060547,53.400001525878906
14:33:39,24.200000762939453,53.29999923706055
14:33:40,24.299999237060547,53.29999923706055
14:33:40,24.200000762939453,53.29999923706055
14:33:41,24.200000762939453,53.29999923706055
14:33:41,24.299999237060547,53.400001525878906
14:33:42,24.200000762939453,53.29999923706055
14:33:45,24.299999237060547,53.599998474121094
14:33:46,24.299999237060547,53.5
14:33:46,24.200000762939453,53.5
14:33:47,24.299999237060547,53.5
14:33:48,24.200000762939453,53.5
14:33:48,24.299999237060547,53.5
14:33:49,24.299999237060547,53.5
14:33:50,24.299999237060547,53.5
14:33:50,24.200000762939453,53.5
14:33:51,24.299999237060547,53.5
14:33:51,24.299999237060547,53.5
14:33:52,24.200000762939453,53.5
14:33:53,24.200000762939453,53.400001525878906
14:33:53,24.200000762939453,53.5
14:33:54,24.299999237060547,53.5
14:33:55,24.200000762939453,53.5
14:33:55,24.299999237060547,53.5
14:33:56,24.299999237060547,53.5
